id,property,needs_translation,default,translated
2195,SYNONYM,f,Brucella abortus,
2152,SYNONYM,f,Brucella canis,
11,SYNONYM,f,Brucella neotomae,
887,SYNONYM,f,Brucella ovis,
36,SYNONYM,f,Brucella suis,
2396,SYNONYM,f,Burkholderia fungorum,
635,SYNONYM,f,Burkholderia pickettii,
1636,SYNONYM,t,California encephalitis virus,Kalifornisches Enzephalitisvirus
2119,SYNONYM,f,Calymmatobacterium,
1914,SYNONYM,f,Calymmatobacterium granulomatis,
1349,SYNONYM,f,Campylobacter butzleri,
2015,SYNONYM,f,Campylobacter cinaedi,
2433,SYNONYM,f,Campylobacter fennelliae,
402,SYNONYM,f,Campylobacter laridis,
885,SYNONYM,f,Campylobacter mustelae,
676,SYNONYM,f,Campylobacter nitrofigilis,
2570,SYNONYM,f,Campylobacter pylori,
380,SYNONYM,f,Campylobacter sputorum mucosalis,
1264,SYNONYM,f,Candida catenulata,
1889,SYNONYM,f,Candida ciferrii,
1354,SYNONYM,f,Candida duobushaemulonii,
52,SYNONYM,f,Candida guilliermondii,
2694,SYNONYM,f,Candida guilliermondii var. membranaefaciens,
2693,SYNONYM,f,Candida guilliermondii var. membranifaciens,
2243,SYNONYM,f,Candida haemulonii,
62,SYNONYM,f,Candida krusei,
451,SYNONYM,f,Candida lambica,
1707,SYNONYM,f,Candida lipolytica,
1192,SYNONYM,f,Candida lusitaniae,
2582,SYNONYM,f,Candida pelliculosa,
396,SYNONYM,f,Candida pintolopesii,
568,SYNONYM,f,Candida pulcherrima,
1666,SYNONYM,f,Candida ravautii,
2418,SYNONYM,f,Candida rugosa,
2052,SYNONYM,f,Candida slooffii,
458,SYNONYM,f,Candida stellatoidea,
892,SYNONYM,f,Candida stellimalicola,
1238,SYNONYM,f,Candida utilis,
1651,SYNONYM,f,Candida vini,
1101,SYNONYM,f,Catabacter,
1823,SYNONYM,f,Catabacter hongkongensis,
2498,SYNONYM,f,Cellulomonas cellulans,
628,SYNONYM,f,Cephalosporium recifei,
281,SYNONYM,f,Chaetomium atrobrunneum,
2450,SYNONYM,f,Chlamydophila,
625,SYNONYM,f,Chlamydophila abortus,
352,SYNONYM,f,Chlamydophila pneumoniae,
1425,SYNONYM,f,Chlamydophila psittaci,
2806,SYNONYM,f,Chryseobacterium meningosepticum,
1736,SYNONYM,f,Chryseomonas polytricha,
1907,SYNONYM,f,Citrobacter diversus,
104,SYNONYM,f,Cladosporium werneckii,
394,SYNONYM,f,Clostridium absonum,
1990,SYNONYM,f,Clostridium barati,
