id,code,name,programRuleVariableSourceType,valueType,useCodeForOptionSet,program,dataElement,trackedEntityAttribute,programStage,sharing
PvkYEF5HWGF,NEOIPC_HAP_RESP_DISTRESS_UINT,NeoIPC HAP Respiratory distress uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
dPTzW89UoZk,NEOIPC_HAP_RESP_SUPP_CRIT_FULFILLED,NeoIPC HAP Respiratory support criterion fulfilled,CALCULATED_VALUE,BOOLEAN,False,D8mSSpOpsKj,,,,
YFeYT2Iad01,NEOIPC_HAP_RESP_SUPP_CUR,NeoIPC HAP Respiratory support value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,sTrkGnTPDL2,,,
ao9KQ4OsVhe,NEOIPC_HAP_SEC_BSI_AGENT_1_NAME_CUR,NeoIPC HAP Secondary BSI pathogen 1 name value,DATAELEMENT_CURRENT_EVENT,TEXT,False,D8mSSpOpsKj,ZmlQ283oucZ,,,
psPh1AVETfy,NEOIPC_HAP_SEC_BSI_AGENT_2_NAME_CUR,NeoIPC HAP Secondary BSI pathogen 2 name value,DATAELEMENT_CURRENT_EVENT,TEXT,False,D8mSSpOpsKj,D6z0jmhQnm5,,,
TzbGW91TP96,NEOIPC_HAP_SEC_BSI_AGENT_3_NAME_CUR,NeoIPC HAP Secondary BSI pathogen 3 name value,DATAELEMENT_CURRENT_EVENT,TEXT,False,D8mSSpOpsKj,n5wJQGsAUvB,,,
txjb6dNVGUP,NEOIPC_HAP_SEC_BSI_CUR,NeoIPC HAP Secondary bloodstream infection value,DATAELEMENT_CURRENT_EVENT,INTEGER,True,D8mSSpOpsKj,uvcHUgCtACj,,,
T3V9C1lmbH2,NEOIPC_HAP_TACHYPNOEA_CUR,NeoIPC HAP Tachypnoea value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,cA8oyKJiPE0,,,
CZT84i6q9aO,NEOIPC_HAP_TACHYPNOEA_UINT,NeoIPC HAP Tachypnoea uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
JIMyYTFhvlz,NEOIPC_HAP_VIRUS_DETECTED,NeoIPC HAP Virus detected,CALCULATED_VALUE,BOOLEAN,False,D8mSSpOpsKj,,,,
PAb00mNSs0h,NEOIPC_MULTIPLE_BIRTH_TEA,NeoIPC Patient Multiple birth value,TEI_ATTRIBUTE,TRUE_ONLY,False,D8mSSpOpsKj,,q2ijTWehrUh,,
wKlcfWtpJ38,NEOIPC_NEC_ABDOMINAL_DISCOLORATION_UINT,NeoIPC NEC Abdominal discoloration uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
ILeiwJJHXrt,NEOIPC_NEC_ABDOMINAL_DISTENSION_CUR,NeoIPC NEC Abdominal distension value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,JUwWBsov9Gr,,,
gVCyyiU7lL5,NEOIPC_NEC_ABDOMINAL_DISTENSION_UINT,NeoIPC NEC Abdominal distension uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
aZpnzHinb3d,NEOIPC_NEC_ABDOMINAL_SKIN_TONE_CUR,NeoIPC NEC Abdominal discoloration value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,XBlDkgqZnr2,,,
w7pKA7PSFU5,NEOIPC_NEC_BILIOUS_ASPIRATE_CUR,NeoIPC NEC Bilious gastric aspirate value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,hoUzjcTAS53,,,
if2IWj2pfz3,NEOIPC_NEC_BILIOUS_GASTRIC_ASPIRATE_UINT,NeoIPC NEC Bilious gastric aspirate uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
h5n4dom8rzn,NEOIPC_NEC_BLOODY_STOOLS_CUR,NeoIPC NEC Blood in stool value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,G2QJTHPk7W9,,,
xSPsu8Yx4mJ,NEOIPC_NEC_BLOOD_IN_STOOL_UINT,NeoIPC NEC Blood in stool uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
D8qGKVrJtHI,NEOIPC_NEC_BOWEL_NECROSIS_CUR,NeoIPC NEC Extensive bowel necrosis value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,GlwA8737vfH,,,
PoIRxHrUF0F,NEOIPC_NEC_CLIN_FINDINGS_TOTAL_COUNT,NeoIPC NEC Clinical findings total count,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
VXOejpznX2D,NEOIPC_NEC_DOL_CUR,NeoIPC NEC on day of life current value,DATAELEMENT_CURRENT_EVENT,INTEGER_POSITIVE,False,D8mSSpOpsKj,Ct7gBVqwScW,,,
