id,programRuleActionType,content,data,location,templateUid,programRule,dataElement,trackedEntityAttribute,programStageSection,programStage,programIndicator,optionGroup,option,sharing
UvmZEbRhjqM,ASSIGN,#{NeoIPC BSI Common commensal once laboratory findings count},expressions/programRules/NeoIPC BSI Assign first finding counts/UvmZEbRhjqM.data.dhis2,,,qcMm39rdO3M,,,,,,,,
VIOoOpB1QFL,SETMANDATORYFIELD,,,,,R66wKJMO2KV,,qLGOhTzMVyY,,,,,,
VdxSoplZgWB,DISPLAYKEYVALUEPAIR,Antibiotic treatment is false,expressions/programRules/NeoIPC BSI Debug rule/VdxSoplZgWB.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
Vhm2WhgO9y9,ASSIGN,#{NeoIPC HAP Imaging criterion fulfilled},expressions/programRules/NeoIPC HAP Imaging findings criterion fulfilled - assign false/Vhm2WhgO9y9.data.dhis2,,,gaMKXAX1EtC,,,,,,,,
W3clTqhECkI,ASSIGN,,expressions/programRules/NeoIPC Surgical Procedure Set Day of life/W3clTqhECkI.data.dhis2,,,sar1ZEH47wx,AmCKOzIAn8i,,,,,,,
Wm8t1QwPEqi,ASSIGN,#{NeoIPC HAP Purulent tracheal aspirate uint value},expressions/programRules/NeoIPC HAP Purulent tracheal aspirate value - true/Wm8t1QwPEqi.data.dhis2,,,zCoyxqNEOVx,,,,,,,,
WuEVo0QdZPC,HIDEFIELD,,,,,jhW8xHnD8YD,MgaxJxTIi6Y,,,,,,,
XSwYAItKZuY,HIDEFIELD,,,,,uitFTLJmYup,pXWj4HIcVEx,,,,,,,
XXSAf7Nkxps,ASSIGN,,expressions/programRules/NeoIPC Admission Type 1/XXSAf7Nkxps.data.dhis2,,,Wr1qtCLDDf2,rvq4L9wWbwW,,,,,,,
XXncoxaoIek,HIDEFIELD,,,,,eqc0S2TZvkm,fuupuDsZf9w,,,,,,,
XdXlqqgcp5b,HIDEFIELD,,,,,cnyYkKWdFSV,hsF5jqkXCKW,,,,,,,
XjfkynbsLHl,DISPLAYKEYVALUEPAIR,All NeoIPC pneumonia definition criteria met,expressions/programRules/NeoIPC HAP - display feedback/XjfkynbsLHl.data.dhis2,feedback,,rb0tjhQtZF2,,,,,,,,
XmKZrpDq0OG,SETMANDATORYFIELD,,,,,vZB3p7NXfKx,nvEHBVmPZpF,,,,,,,
XockUiO4AcV,HIDEFIELD,,,,,jewkCRzEWoA,bUNxV2zp4Lu,,,,,,,
Xr6y6BvahHt,HIDESECTION,,,,,bBy2KAwRXCW,,,VuAIMPIHrWE,,,,,
XvrSQ5Xu2s3,HIDEFIELD,,,,,uitFTLJmYup,fynZ6sz6Di0,,,,,,,
XxWQ5RRgXz4,HIDEFIELD,,,,,cnyYkKWdFSV,QmvUGbDIIIG,,,,,,,
Y1EJX8Pxx5i,ASSIGN,#{NeoIPC BSI Common commensal once clinical findings count},expressions/programRules/NeoIPC BSI Assign first finding counts/Y1EJX8Pxx5i.data.dhis2,,,qcMm39rdO3M,,,,,,,,
YGJBkSY9BRG,HIDEFIELD,,,,,cnyYkKWdFSV,tvGZ44rx0q1,,,,,,,
YLoiCtsDgaA,HIDESECTION,,,,,PLYGlpyFglh,,,ACd7OsOs9Cx,,,,,
YOMSpHMwrwa,HIDEFIELD,,,,,uitFTLJmYup,aHdse5vKla6,,,,,,,
ZCFzyr6Uw7G,HIDEFIELD,,,,,jhW8xHnD8YD,HztFtyHuX7f,,,,,,,
ZGHD2MFuXSx,HIDEFIELD,,,,,bBy2KAwRXCW,vNw0rqjhgW1,,,,,,,
ZIqrCJ67NRA,SHOWWARNING,Implausible gestational age,,,,b3CR62JDGHW,,qLGOhTzMVyY,,,,,,
ZNebHU6Ve9V,HIDEFIELD,,,,,cnyYkKWdFSV,TheHLmezGMF,,,,,,,
ZdNvbprB5gs,ASSIGN,#{NeoIPC NEC Increased gastric residuals uint value},expressions/programRules/NeoIPC NEC Increased gastric residuals value - true/ZdNvbprB5gs.data.dhis2,,,FFZw4Nvznpv,,,,,,,,
ZqyfZpCn2Go,ASSIGN,,expressions/programRules/NeoIPC Admission Set Length of Stay/ZqyfZpCn2Go.data.dhis2,,,GShb8cTSeZL,Lwa9Jp5xSnR,,,,,,,
ZzuWFvH6c4o,DISPLAYKEYVALUEPAIR,Antibiotic treatment is true,expressions/programRules/NeoIPC BSI Debug rule/ZzuWFvH6c4o.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
