id,code,name,description,condition,priority,program,programStage,programRuleActions,sharing
FG7FJmg1H0g,NEOIPC_HAP_RESP_DISTRESS_VAL_TRUE,NeoIPC HAP Respiratory distress value - true,"Adjusts the dialog and assigns variables when ""NeoIPC HAP Respiratory distress value"" is true",expressions/programRules/NeoIPC HAP Respiratory distress value - true/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,K3P7pkqFe0b,
h0dQA0XH9E5,NEOIPC_HAP_RESP_SUPP_CRIT_FULFILLED_FALSE,NeoIPC HAP Respiratory support criterion fulfilled - assign false,,expressions/programRules/NeoIPC HAP Respiratory support criterion fulfilled - assign false/condition.dhis2,2,D8mSSpOpsKj,gS3zQzPpsgV,mpiwVbg7cLd,
aHKyMUBufZd,NEOIPC_HAP_RESP_SUPP_CRIT_FULFILLED_TRUE,NeoIPC HAP Respiratory support criterion fulfilled - assign true,,expressions/programRules/NeoIPC HAP Respiratory support criterion fulfilled - assign true/condition.dhis2,2,D8mSSpOpsKj,gS3zQzPpsgV,M77VfLzMVP6,
mzWTkqqUcri,NEOIPC_HAP_SEC_BSI_AGENT_1_NAME_HAS_VAL,NeoIPC HAP Secondary BSI Organism 1 - name has value,Sends a message when a custom name is entered as Organism 1 in the secondary BSI section of the NeoIPC Core HAP dialog,expressions/programRules/NeoIPC HAP Secondary BSI Organism 1 - name has value/condition.dhis2,9999,D8mSSpOpsKj,gS3zQzPpsgV,EaNiPgX7X4X,
wkyknn44Pla,NEOIPC_HAP_SEC_BSI_AGENT_2_NAME_HAS_VAL,NeoIPC HAP Secondary BSI Organism 2 - name has value,Sends a message when a custom name is entered as Organism 2 in the secondary BSI section of the NeoIPC Core HAP dialog,expressions/programRules/NeoIPC HAP Secondary BSI Organism 2 - name has value/condition.dhis2,9999,D8mSSpOpsKj,gS3zQzPpsgV,tbSA0hG0XFE,
RSsNtCsCnwX,NEOIPC_HAP_SEC_BSI_AGENT_3_NAME_HAS_VAL,NeoIPC HAP Secondary BSI Organism 3 - name has value,Sends a message when a custom name is entered as Organism 3 in the secondary BSI section of the NeoIPC Core HAP dialog,expressions/programRules/NeoIPC HAP Secondary BSI Organism 3 - name has value/condition.dhis2,9999,D8mSSpOpsKj,gS3zQzPpsgV,FjG1PEzwLfV,
zS1QzifzZJO,NEOIPC_HAP_SEC_BSI_VAL_1_PLUS,NeoIPC HAP Secondary bloodstream infection value - 1+,"Adjusts the dialog and assigns variables when ""NeoIPC HAP Secondary bloodstream infection value"" is greater than 0",expressions/programRules/NeoIPC HAP Secondary bloodstream infection value - 1+/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,ICJnLII2NRd,
jhW8xHnD8YD,NEOIPC_HAP_SEC_BSI_VAL_NO_VAL_OR_0,NeoIPC HAP Secondary bloodstream infection value - no value or 0-,"Adjusts the dialog and assigns variables when ""NeoIPC HAP Secondary bloodstream infection value"" does not have a value or when the value is less than 1",expressions/programRules/NeoIPC HAP Secondary bloodstream infection value - no value or 0-/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,BfkYxBp7fJP FX4IT62CA1T GuxMVH4PYb7 JEubUEqnobg Kl5TtQ70kjW N7PJnOpg1sr Phyq5BMpvSY RfIu8hP2iT5 RzoPXAebCXe WuEVo0QdZPC ZCFzyr6Uw7G bdNPKVZZLB5 bvDkHGXwu19 cHIbE45Stab cb4iOsz4Hlq faTvRQjFlsY iIFIOdEmbeR oDejX7JqPrQ rjSV9rT8m8r uyVUyl7GGgX w1apQG9YKhG,
S2v2jluLwkf,NEOIPC_HAP_SET_DOL,NeoIPC HAP Set Day of life,Automatically sets the day of life for the current HAP event,expressions/programRules/NeoIPC HAP Set Day of life/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,IhrbU4oVOUo,
o9o46FMkloW,NEOIPC_HAP_SET_LOS,NeoIPC HAP Set Length of Stay,Automatically sets the Length of Stay for the current event,expressions/programRules/NeoIPC HAP Set Length of Stay/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,q6HKg9AWaM7,
