id,code,name,shortName,formName,description,url,valueType,domainType,aggregationType,zeroIsSignificant,categoryCombo,optionSet,commentOptionSet,aggregationLevels,legendSets,sharing
AWj4EtgLBRq,NEOIPC_SSI_PURULENT_DRAINAGE_DEEP,NeoIPC SSI Purulent drainage deep incision,NeoIPC SSI Purulent drain. deep inc.,Purulent drainage from the deep incision,Purulent drainage from deep layers of the incision.,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
fuupuDsZf9w,NEOIPC_SSI_PURULENT_DRAINAGE_DRAIN,NeoIPC SSI Purulent drainage drain,NeoIPC SSI Purulent drain. drain,Purulent drainage from a drain,"Purulent drainage from a drain placed into the organ/space (for example, closed suction drainage system, open drain, T-tube drain, CT guided drainage)",,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
P38wa79hn0H,NEOIPC_SSI_PURULENT_DRAINAGE_SUPERF,NeoIPC SSI Purulent drainage superficial incision,NeoIPC SSI Purulent drain. superf. inc.,Purulent drainage from the superficial incision,Purulent drainage from the superficial layer of the incision.,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
SWwmWqVfFX4,NEOIPC_SSI_SEC_BSI,NeoIPC SSI Secondary bloodstream infection,NeoIPC SSI Sec. BSI,Secondary bloodstream infection,"A BSI that is thought to be seeded from the SSI A BSI can be attributed to a site-specific infection (in this case the SSI if it occurs in a 17-day period that includes the day of infection (=first symptoms of site-specific infection), 3 days prior, and 13 days after.",,INTEGER,TRACKER,DEFAULT,True,bjDvmb4bfuf,KfIEzWRibj7,,,,PUBLIC_RW
lgO6BRWuni9,NEOIPC_SURGERY_ASA_SCORE,NeoIPC Surgery ASA-Score,NeoIPC Surgery ASA,ASA-Score,The American Society of Anesthesiologists (ASA) Physical Status Classification System to assess and communicate a patient’s pre-anesthesia medical co-morbidities.,https://www.asahq.org/standards-and-guidelines/asa-physical-status-classification-system,INTEGER_POSITIVE,TRACKER,DEFAULT,False,bjDvmb4bfuf,LnwdZ7gugKe,,,,PUBLIC_RW
AmCKOzIAn8i,NEOIPC_SURGERY_DOL,NeoIPC SURGERY Day of life,NeoIPC SURGERY DOL,Day of life,The day of life on which the surgery occurred. This field is calculated automatically.,,INTEGER_POSITIVE,TRACKER,AVERAGE,False,bjDvmb4bfuf,,,,,PUBLIC_RW
rIXwdgfrfkf,NEOIPC_SURGERY_DURATION,NeoIPC Surgery Duration,NeoIPC Surg. Duration,Duration (minutes),The duration of the surgical procedure in minutes (incision-to-suture time if available).,,INTEGER_POSITIVE,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
DTZ9HfILgnX,NEOIPC_SURGERY_EMERGENCY_PROCEDURE,NeoIPC Surgery Emergency procedure,NeoIPC Surg. Emergency,Emergency procedure,Yes: A procedure that is documented per the facility’s protocol to be an emergency or urgent procedure. No: The intervention is initiated and performed in a planned manner Unknown: No information available.,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,PUBLIC_RW
mWLdYcsxiR6,NEOIPC_SURGERY_ENDOSCOPIC_PROCEDURE,NeoIPC Surgery Endoscopic procedure,NeoIPC Surg. Endo,Endoscopic procedure,"Select ""Yes"" if the procedure was performed completely endoscopically and ""No"" if the procedure was performed open or endoscopically assisted, or when switching to an open technique during an endoscopic procedure occurred.",,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
OVCzlltgwNt,NEOIPC_SURGERY_IMPLANT,NeoIPC Surgery Implant,NeoIPC Surg. Implant,Implant,"An implant is a foreign body of non-human origin that is permanently placed into a patient during an operation and is not routinely manipulated for diagnostic or therapeutic purposes (e.g.; vascular prostheses, screws, wires, meshes).",,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
